Nomor,Kategori asset,Nama asset,Fungsi,Penggunaan,Ukuran,Format,Versi warna,Nama file,Folder tujuan,Prioritas,Pengguna utama,Status,Catatan teknis
13,Logo master,sentra-logomark-master-black,Source of truth / master exports,01-logo-master,Vector / file-specific,SVG,Black/White/Brand as named,sentra-logomark-master-black.svg,01-logo-master,Wajib,"Designer, Developer",PRODUCTION / REVIEW,Derived from approved master; see guideline.
14,Logo master,sentra-logomark-master-white-1024,Source of truth / master exports,01-logo-master,Platform-specific,PNG,Black/White/Brand as named,sentra-logomark-master-white-1024.png,01-logo-master,Wajib,"Designer, Developer",PRODUCTION / REVIEW,Derived from approved master; see guideline.
15,Logo master,sentra-logomark-master-white-2048,Source of truth / master exports,01-logo-master,Platform-specific,PNG,Black/White/Brand as named,sentra-logomark-master-white-2048.png,01-logo-master,Wajib,"Designer, Developer",PRODUCTION / REVIEW,Derived from approved master; see guideline.
16,Logo master,sentra-logomark-master-white-256,Source of truth / master exports,01-logo-master,Platform-specific,PNG,Black/White/Brand as named,sentra-logomark-master-white-256.png,01-logo-master,Wajib,"Designer, Developer",PRODUCTION / REVIEW,Derived from approved master; see guideline.
17,Logo master,sentra-logomark-master-white-512,Source of truth / master exports,01-logo-master,Platform-specific,PNG,Black/White/Brand as named,sentra-logomark-master-white-512.png,01-logo-master,Wajib,"Designer, Developer",PRODUCTION / REVIEW,Derived from approved master; see guideline.
18,Logo master,sentra-logomark-master-white,Source of truth / master exports,01-logo-master,Vector / file-specific,SVG,Black/White/Brand as named,sentra-logomark-master-white.svg,01-logo-master,Wajib,"Designer, Developer",PRODUCTION / REVIEW,Derived from approved master; see guideline.
19,Logo variations,README,Corporate and compact lockups,02-logo-variations,N/A,MD,Black/White/Brand as named,readme.md,02-logo-variations,Wajib,"Designer, Developer, Marketing",PRODUCTION / REVIEW,Derived from approved master; see guideline.
20,Logo variations,sentra-logo-horizontal-full-black,Corporate and compact lockups,02-logo-variations,Vector / file-specific,SVG,Black/White/Brand as named,sentra-logo-horizontal-full-black.svg,02-logo-variations,Wajib,"Designer, Developer, Marketing",PRODUCTION / REVIEW,Derived from approved master; see guideline.
21,Logo variations,sentra-logo-horizontal-full-white,Corporate and compact lockups,02-logo-variations,Vector / file-specific,SVG,Black/White/Brand as named,sentra-logo-horizontal-full-white.svg,02-logo-variations,Wajib,"Designer, Developer, Marketing",PRODUCTION / REVIEW,Derived from approved master; see guideline.
22,Logo variations,sentra-logo-horizontal-short-black,Corporate and compact lockups,02-logo-variations,Vector / file-specific,SVG,Black/White/Brand as named,sentra-logo-horizontal-short-black.svg,02-logo-variations,Wajib,"Designer, Developer, Marketing",PRODUCTION / REVIEW,Derived from approved master; see guideline.
23,Logo variations,sentra-logo-horizontal-short-white,Corporate and compact lockups,02-logo-variations,Vector / file-specific,SVG,Black/White/Brand as named,sentra-logo-horizontal-short-white.svg,02-logo-variations,Wajib,"Designer, Developer, Marketing",PRODUCTION / REVIEW,Derived from approved master; see guideline.
24,Logo variations,sentra-logo-stacked-black,Corporate and compact lockups,02-logo-variations,Vector / file-specific,SVG,Black/White/Brand as named,sentra-logo-stacked-black.svg,02-logo-variations,Wajib,"Designer, Developer, Marketing",PRODUCTION / REVIEW,Derived from approved master; see guideline.
25,Logo variations,sentra-logo-stacked-white,Corporate and compact lockups,02-logo-variations,Vector / file-specific,SVG,Black/White/Brand as named,sentra-logo-stacked-white.svg,02-logo-variations,Wajib,"Designer, Developer, Marketing",PRODUCTION / REVIEW,Derived from approved master; see guideline.
26,Logo variations,sentra-wordmark-full-black,Corporate and compact lockups,02-logo-variations,Vector / file-specific,SVG,Black/White/Brand as named,sentra-wordmark-full-black.svg,02-logo-variations,Wajib,"Designer, Developer, Marketing",PRODUCTION / REVIEW,Derived from approved master; see guideline.
27,Logo variations,sentra-wordmark-full-white,Corporate and compact lockups,02-logo-variations,Vector / file-specific,SVG,Black/White/Brand as named,sentra-wordmark-full-white.svg,02-logo-variations,Wajib,"Designer, Developer, Marketing",PRODUCTION / REVIEW,Derived from approved master; see guideline.
28,Logo variations,sentra-wordmark-short-black,Corporate and compact lockups,02-logo-variations,Vector / file-specific,SVG,Black/White/Brand as named,sentra-wordmark-short-black.svg,02-logo-variations,Wajib,"Designer, Developer, Marketing",PRODUCTION / REVIEW,Derived from approved master; see guideline.
29,Logo variations,sentra-wordmark-short-white,Corporate and compact lockups,02-logo-variations,Vector / file-specific,SVG,Black/White/Brand as named,sentra-wordmark-short-white.svg,02-logo-variations,Wajib,"Designer, Developer, Marketing",PRODUCTION / REVIEW,Derived from approved master; see guideline.
30,Website,sentra-og-image-default-1200x630,Website identity and social preview,03-website,Platform-specific,PNG,Black/White/Brand as named,sentra-og-image-default-1200x630.png,03-website,Wajib,Developer,PRODUCTION / REVIEW,Derived from approved master; see guideline.
31,Website,sentra-web-brand-placeholder-1600x900,Website identity and social preview,03-website,Platform-specific,PNG,Black/White/Brand as named,sentra-web-brand-placeholder-1600x900.png,03-website,Wajib,Developer,PRODUCTION / REVIEW,Derived from approved master; see guideline.
32,Website,sentra-web-footer-white,Website identity and social preview,03-website,Vector / file-specific,SVG,Black/White/Brand as named,sentra-web-footer-white.svg,03-website,Wajib,Developer,PRODUCTION / REVIEW,Derived from approved master; see guideline.
33,Website,sentra-web-navbar-black,Website identity and social preview,03-website,Vector / file-specific,SVG,Black/White/Brand as named,sentra-web-navbar-black.svg,03-website,Wajib,Developer,PRODUCTION / REVIEW,Derived from approved master; see guideline.
34,Website,sentra-web-navbar-compact,Website identity and social preview,03-website,Vector / file-specific,SVG,Black/White/Brand as named,sentra-web-navbar-compact.svg,03-website,Wajib,Developer,PRODUCTION / REVIEW,Derived from approved master; see guideline.
35,Website,sentra-web-navbar-white,Website identity and social preview,03-website,Vector / file-specific,SVG,Black/White/Brand as named,sentra-web-navbar-white.svg,03-website,Wajib,Developer,PRODUCTION / REVIEW,Derived from approved master; see guideline.
36,Favicon dan browser,sentra-apple-touch-icon-180,Browser/home-screen identity,04-favicon-browser,Platform-specific,PNG,Black/White/Brand as named,sentra-apple-touch-icon-180.png,04-favicon-browser,Wajib,Developer,PRODUCTION / REVIEW,Derived from approved master; see guideline.
37,Favicon dan browser,sentra-favicon-16,Browser/home-screen identity,04-favicon-browser,Platform-specific,PNG,Black/White/Brand as named,sentra-favicon-16.png,04-favicon-browser,Wajib,Developer,PRODUCTION / REVIEW,Derived from approved master; see guideline.
38,Favicon dan browser,sentra-favicon-32,Browser/home-screen identity,04-favicon-browser,Platform-specific,PNG,Black/White/Brand as named,sentra-favicon-32.png,04-favicon-browser,Wajib,Developer,PRODUCTION / REVIEW,Derived from approved master; see guideline.
39,Favicon dan browser,sentra-favicon-48,Browser/home-screen identity,04-favicon-browser,Platform-specific,PNG,Black/White/Brand as named,sentra-favicon-48.png,04-favicon-browser,Wajib,Developer,PRODUCTION / REVIEW,Derived from approved master; see guideline.
40,Favicon dan browser,sentra-favicon-64,Browser/home-screen identity,04-favicon-browser,Platform-specific,PNG,Black/White/Brand as named,sentra-favicon-64.png,04-favicon-browser,Wajib,Developer,PRODUCTION / REVIEW,Derived from approved master; see guideline.
41,Favicon dan browser,sentra-favicon-dark-32,Browser/home-screen identity,04-favicon-browser,Platform-specific,PNG,Black/White/Brand as named,sentra-favicon-dark-32.png,04-favicon-browser,Wajib,Developer,PRODUCTION / REVIEW,Derived from approved master; see guideline.
42,Favicon dan browser,sentra-favicon,Browser/home-screen identity,04-favicon-browser,Platform-specific,ICO,Black/White/Brand as named,sentra-favicon.ico,04-favicon-browser,Wajib,Developer,PRODUCTION / REVIEW,Derived from approved master; see guideline.
43,Favicon dan browser,sentra-favicon,Browser/home-screen identity,04-favicon-browser,Vector / file-specific,SVG,Black/White/Brand as named,sentra-favicon.svg,04-favicon-browser,Wajib,Developer,PRODUCTION / REVIEW,Derived from approved master; see guideline.
44,Social media,sentra-github-avatar-500,Platform identity and branded templates,05-social-media,Platform-specific,PNG,Black/White/Brand as named,sentra-github-avatar-500.png,05-social-media,Penting,"Marketing, Social media",PRODUCTION / REVIEW,Derived from approved master; see guideline.
45,Social media,sentra-github-social-preview-1280x640,Platform identity and branded templates,05-social-media,Platform-specific,PNG,Black/White/Brand as named,sentra-github-social-preview-1280x640.png,05-social-media,Penting,"Marketing, Social media",PRODUCTION / REVIEW,Derived from approved master; see guideline.
46,Social media,sentra-instagram-avatar-1080,Platform identity and branded templates,05-social-media,Platform-specific,PNG,Black/White/Brand as named,sentra-instagram-avatar-1080.png,05-social-media,Penting,"Marketing, Social media",PRODUCTION / REVIEW,Derived from approved master; see guideline.
47,Social media,sentra-instagram-post-portrait-1080x1440,Platform identity and branded templates,05-social-media,Platform-specific,PNG,Black/White/Brand as named,sentra-instagram-post-portrait-1080x1440.png,05-social-media,Penting,"Marketing, Social media",PRODUCTION / REVIEW,Derived from approved master; see guideline.
48,Social media,sentra-instagram-post-square-1080,Platform identity and branded templates,05-social-media,Platform-specific,PNG,Black/White/Brand as named,sentra-instagram-post-square-1080.png,05-social-media,Penting,"Marketing, Social media",PRODUCTION / REVIEW,Derived from approved master; see guideline.
49,Social media,sentra-instagram-story-1080x1920,Platform identity and branded templates,05-social-media,Platform-specific,PNG,Black/White/Brand as named,sentra-instagram-story-1080x1920.png,05-social-media,Penting,"Marketing, Social media",PRODUCTION / REVIEW,Derived from approved master; see guideline.
50,Social media,sentra-linkedin-cover-4200x700,Platform identity and branded templates,05-social-media,Platform-specific,PNG,Black/White/Brand as named,sentra-linkedin-cover-4200x700.png,05-social-media,Penting,"Marketing, Social media",PRODUCTION / REVIEW,Derived from approved master; see guideline.
51,Social media,sentra-linkedin-page-logo-400,Platform identity and branded templates,05-social-media,Platform-specific,PNG,Black/White/Brand as named,sentra-linkedin-page-logo-400.png,05-social-media,Penting,"Marketing, Social media",PRODUCTION / REVIEW,Derived from approved master; see guideline.
52,Social media,sentra-social-avatar-dark-1024,Platform identity and branded templates,05-social-media,Platform-specific,PNG,Black/White/Brand as named,sentra-social-avatar-dark-1024.png,05-social-media,Penting,"Marketing, Social media",PRODUCTION / REVIEW,Derived from approved master; see guideline.
53,Social media,sentra-social-avatar-light-1024,Platform identity and branded templates,05-social-media,Platform-specific,PNG,Black/White/Brand as named,sentra-social-avatar-light-1024.png,05-social-media,Penting,"Marketing, Social media",PRODUCTION / REVIEW,Derived from approved master; see guideline.
54,Social media,sentra-x-header-1500x500,Platform identity and branded templates,05-social-media,Platform-specific,PNG,Black/White/Brand as named,sentra-x-header-1500x500.png,05-social-media,Penting,"Marketing, Social media",PRODUCTION / REVIEW,Derived from approved master; see guideline.
55,Social media,sentra-x-profile-400,Platform identity and branded templates,05-social-media,Platform-specific,PNG,Black/White/Brand as named,sentra-x-profile-400.png,05-social-media,Penting,"Marketing, Social media",PRODUCTION / REVIEW,Derived from approved master; see guideline.
56,Social media,sentra-youtube-banner-2560x1440,Platform identity and branded templates,05-social-media,Platform-specific,PNG,Black/White/Brand as named,sentra-youtube-banner-2560x1440.png,05-social-media,Penting,"Marketing, Social media",PRODUCTION / REVIEW,Derived from approved master; see guideline.
57,Social media,sentra-youtube-profile-800,Platform identity and branded templates,05-social-media,Platform-specific,PNG,Black/White/Brand as named,sentra-youtube-profile-800.png,05-social-media,Penting,"Marketing, Social media",PRODUCTION / REVIEW,Derived from approved master; see guideline.
58,Social media,sentra-youtube-thumbnail-template-1280x720,Platform identity and branded templates,05-social-media,Platform-specific,PNG,Black/White/Brand as named,sentra-youtube-thumbnail-template-1280x720.png,05-social-media,Penting,"Marketing, Social media",PRODUCTION / REVIEW,Derived from approved master; see guideline.
59,Promotion,sentra-onepager-master-a4,Presentation/proposal/campaign source templates,06-promotion,Vector / file-specific,SVG,Black/White/Brand as named,sentra-onepager-master-a4.svg,06-promotion,Penting,"Marketing, Sales",PRODUCTION / REVIEW,Derived from approved master; see guideline.
60,Promotion,sentra-poster-master-a3,Presentation/proposal/campaign source templates,06-promotion,Vector / file-specific,SVG,Black/White/Brand as named,sentra-poster-master-a3.svg,06-promotion,Penting,"Marketing, Sales",PRODUCTION / REVIEW,Derived from approved master; see guideline.
61,Promotion,sentra-presentation-cover-1920x1080,Presentation/proposal/campaign source templates,06-promotion,Vector / file-specific,SVG,Black/White/Brand as named,sentra-presentation-cover-1920x1080.svg,06-promotion,Penting,"Marketing, Sales",PRODUCTION / REVIEW,Derived from approved master; see guideline.
62,Promotion,sentra-proposal-cover-a4,Presentation/proposal/campaign source templates,06-promotion,Vector / file-specific,SVG,Black/White/Brand as named,sentra-proposal-cover-a4.svg,06-promotion,Penting,"Marketing, Sales",PRODUCTION / REVIEW,Derived from approved master; see guideline.
63,App dan digital product,sentra-app-icon-dark-1024,App/PWA/product identity,07-app-and-digital-product,Platform-specific,PNG,Black/White/Brand as named,sentra-app-icon-dark-1024.png,07-app-and-digital-product,Penting,"Developer, Product",PRODUCTION / REVIEW,Derived from approved master; see guideline.
64,App dan digital product,sentra-app-icon-light-1024,App/PWA/product identity,07-app-and-digital-product,Platform-specific,PNG,Black/White/Brand as named,sentra-app-icon-light-1024.png,07-app-and-digital-product,Penting,"Developer, Product",PRODUCTION / REVIEW,Derived from approved master; see guideline.
65,App dan digital product,sentra-app-icon-monochrome,App/PWA/product identity,07-app-and-digital-product,Vector / file-specific,SVG,Black/White/Brand as named,sentra-app-icon-monochrome.svg,07-app-and-digital-product,Penting,"Developer, Product",PRODUCTION / REVIEW,Derived from approved master; see guideline.
66,App dan digital product,sentra-product-ui-logo-black,App/PWA/product identity,07-app-and-digital-product,Vector / file-specific,SVG,Black/White/Brand as named,sentra-product-ui-logo-black.svg,07-app-and-digital-product,Penting,"Developer, Product",PRODUCTION / REVIEW,Derived from approved master; see guideline.
67,App dan digital product,sentra-product-ui-logo-white,App/PWA/product identity,07-app-and-digital-product,Vector / file-specific,SVG,Black/White/Brand as named,sentra-product-ui-logo-white.svg,07-app-and-digital-product,Penting,"Developer, Product",PRODUCTION / REVIEW,Derived from approved master; see guideline.
68,App dan digital product,sentra-pwa-icon-192,App/PWA/product identity,07-app-and-digital-product,Platform-specific,PNG,Black/White/Brand as named,sentra-pwa-icon-192.png,07-app-and-digital-product,Penting,"Developer, Product",PRODUCTION / REVIEW,Derived from approved master; see guideline.
69,App dan digital product,sentra-pwa-icon-512,App/PWA/product identity,07-app-and-digital-product,Platform-specific,PNG,Black/White/Brand as named,sentra-pwa-icon-512.png,07-app-and-digital-product,Penting,"Developer, Product",PRODUCTION / REVIEW,Derived from approved master; see guideline.
70,App dan digital product,sentra-pwa-maskable-512,App/PWA/product identity,07-app-and-digital-product,Platform-specific,PNG,Black/White/Brand as named,sentra-pwa-maskable-512.png,07-app-and-digital-product,Penting,"Developer, Product",PRODUCTION / REVIEW,Derived from approved master; see guideline.
71,Sub-brand dan features,sentra-feature-badge-template,Reusable subbrand/feature templates,08-sub-brands-and-features,Vector / file-specific,SVG,Black/White/Brand as named,sentra-feature-badge-template.svg,08-sub-brands-and-features,Opsional,"Designer, Product",PRODUCTION / REVIEW,Derived from approved master; see guideline.
72,Sub-brand dan features,sentra-feature-lockup-template,Reusable subbrand/feature templates,08-sub-brands-and-features,Vector / file-specific,SVG,Black/White/Brand as named,sentra-feature-lockup-template.svg,08-sub-brands-and-features,Opsional,"Designer, Product",PRODUCTION / REVIEW,Derived from approved master; see guideline.
73,Sub-brand dan features,sentra-product-icon-framework,Reusable subbrand/feature templates,08-sub-brands-and-features,Vector / file-specific,SVG,Black/White/Brand as named,sentra-product-icon-framework.svg,08-sub-brands-and-features,Opsional,"Designer, Product",PRODUCTION / REVIEW,Derived from approved master; see guideline.
74,Sub-brand dan features,sentra-subbrand-lockup-template,Reusable subbrand/feature templates,08-sub-brands-and-features,Vector / file-specific,SVG,Black/White/Brand as named,sentra-subbrand-lockup-template.svg,08-sub-brands-and-features,Opsional,"Designer, Product",PRODUCTION / REVIEW,Derived from approved master; see guideline.
75,Partner dan ecosystem,sentra-cobrand-horizontal-template,Co-branding templates,09-partners-and-ecosystem,Vector / file-specific,SVG,Black/White/Brand as named,sentra-cobrand-horizontal-template.svg,09-partners-and-ecosystem,Penting,"Marketing, Partner",PRODUCTION / REVIEW,Derived from approved master; see guideline.
76,Partner dan ecosystem,sentra-partner-logo-strip-template,Co-branding templates,09-partners-and-ecosystem,Vector / file-specific,SVG,Black/White/Brand as named,sentra-partner-logo-strip-template.svg,09-partners-and-ecosystem,Penting,"Marketing, Partner",PRODUCTION / REVIEW,Derived from approved master; see guideline.
77,Partner dan ecosystem,sentra-powered-by-lockup-black,Co-branding templates,09-partners-and-ecosystem,Vector / file-specific,SVG,Black/White/Brand as named,sentra-powered-by-lockup-black.svg,09-partners-and-ecosystem,Penting,"Marketing, Partner",PRODUCTION / REVIEW,Derived from approved master; see guideline.
78,Partner dan ecosystem,sentra-powered-by-lockup-white,Co-branding templates,09-partners-and-ecosystem,Vector / file-specific,SVG,Black/White/Brand as named,sentra-powered-by-lockup-white.svg,09-partners-and-ecosystem,Penting,"Marketing, Partner",PRODUCTION / REVIEW,Derived from approved master; see guideline.
79,Brand guidelines,sentra-brand-guidelines-v1,Governance and usage documentation,10-brand-guidelines,N/A,MD,Black/White/Brand as named,sentra-brand-guidelines-v1.md,10-brand-guidelines,Wajib,All teams,PRODUCTION / REVIEW,Derived from approved master; see guideline.
80,Brand guidelines,sentra-brand-guidelines-v1,Governance and usage documentation,10-brand-guidelines,N/A,PDF,Black/White/Brand as named,sentra-brand-guidelines-v1.pdf,10-brand-guidelines,Wajib,All teams,PRODUCTION / REVIEW,Derived from approved master; see guideline.
81,Brand guidelines,sentra-color-specification,Governance and usage documentation,10-brand-guidelines,N/A,MD,Black/White/Brand as named,sentra-color-specification.md,10-brand-guidelines,Wajib,All teams,PRODUCTION / REVIEW,Derived from approved master; see guideline.
82,Brand guidelines,sentra-logo-usage-guide,Governance and usage documentation,10-brand-guidelines,N/A,MD,Black/White/Brand as named,sentra-logo-usage-guide.md,10-brand-guidelines,Wajib,All teams,PRODUCTION / REVIEW,Derived from approved master; see guideline.
83,Brand guidelines,sentra-typography-guide,Governance and usage documentation,10-brand-guidelines,N/A,MD,Black/White/Brand as named,sentra-typography-guide.md,10-brand-guidelines,Wajib,All teams,PRODUCTION / REVIEW,Derived from approved master; see guideline.
84,Preview dan mockups,sentra-cross-platform-preview,QA and review boards,11-preview-and-mockups,Platform-specific,PNG,Black/White/Brand as named,sentra-cross-platform-preview.png,11-preview-and-mockups,Penting,"Brand owner, Designer",PRODUCTION / REVIEW,Derived from approved master; see guideline.
85,Preview dan mockups,sentra-logo-background-test,QA and review boards,11-preview-and-mockups,Platform-specific,PNG,Black/White/Brand as named,sentra-logo-background-test.png,11-preview-and-mockups,Penting,"Brand owner, Designer",PRODUCTION / REVIEW,Derived from approved master; see guideline.
86,Preview dan mockups,sentra-logo-review-board,QA and review boards,11-preview-and-mockups,Platform-specific,PNG,Black/White/Brand as named,sentra-logo-review-board.png,11-preview-and-mockups,Penting,"Brand owner, Designer",PRODUCTION / REVIEW,Derived from approved master; see guideline.
87,Preview dan mockups,sentra-logo-small-size-test,QA and review boards,11-preview-and-mockups,Platform-specific,PNG,Black/White/Brand as named,sentra-logo-small-size-test.png,11-preview-and-mockups,Penting,"Brand owner, Designer",PRODUCTION / REVIEW,Derived from approved master; see guideline.
